,metric,info_clf,mean_accuracy,std_accuracy,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_auc,std_auc,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,best_params.C,best_params.kernel
0,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9')",svm,84.7777777777778,2.1832697191750414,74.0,4.049691346263318,95.5,2.867926079939997,0.45533333333333337,0.12002888541235952,96.00000000000001,2.5298221281347026,74.0,4.049691346263318,82.66666666666667,4.049691346263318,1,linear
2,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED9', 'MED10')",svm,84.7777777777778,2.601281735350223,74.0,4.049691346263318,95.5,2.867926079939997,0.42300000000000004,0.12494838934536132,95.5,2.8679260799399966,74.0,4.049691346263318,82.72222222222221,4.049691346263318,1,linear
3,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED8', 'MED9', 'MED10')",svm,83.77777777777779,2.573367875415838,72.0,5.059644256269407,95.5,2.867926079939997,0.35900000000000004,0.11358212887598118,96.00000000000001,2.5298221281347026,72.0,5.059644256269407,80.88095238095238,5.059644256269407,1,linear
4,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED7', 'MED8', 'MED9', 'MED10')",svm,83.77777777777779,2.573367875415838,72.0,5.059644256269407,95.5,2.867926079939997,0.4250000000000001,0.11657829986751395,96.00000000000001,2.5298221281347026,72.0,5.059644256269407,80.88095238095238,5.059644256269407,1,linear
1,"('MED1', 'MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED10')",svm,82.77777777777779,2.5055493963954847,72.0,4.1952353926806065,93.5,3.1662280397975118,0.5940000000000001,0.11231384598525686,93.50000000000001,3.1662280397975118,72.0,4.1952353926806065,80.44444444444444,4.1952353926806065,1,linear
6,"('MED1', 'MED2', 'MED3', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,82.77777777777779,2.5055493963954847,72.0,5.059644256269407,93.5,3.1662280397975118,0.624,0.12370286981311306,94.0,2.898275349237887,72.0,5.059644256269407,79.9920634920635,5.059644256269407,1,linear
7,"('MED1', 'MED2', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,82.77777777777779,2.5055493963954847,72.0,5.059644256269407,93.5,3.1662280397975118,0.503,0.13052241186861357,94.0,2.898275349237887,72.0,5.059644256269407,79.9920634920635,5.059644256269407,1,linear
8,"('MED1', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,82.77777777777779,2.5055493963954847,72.0,5.059644256269407,93.5,3.1662280397975118,0.437,0.12117796829457077,94.0,2.898275349237887,72.0,5.059644256269407,79.9920634920635,5.059644256269407,1,linear
5,"('MED1', 'MED2', 'MED3', 'MED4', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,80.7777777777778,2.9981475762358483,68.0,5.796550698475776,93.5,3.1662280397975118,0.23900000000000002,0.06794777406214277,93.50000000000001,3.1662280397975118,68.0,5.796550698475776,76.87301587301587,5.796550698475776,1,linear
9,"('MED2', 'MED3', 'MED4', 'MED5', 'MED6', 'MED7', 'MED8', 'MED9', 'MED10')",svm,78.55555555555556,3.8427420765212257,62.33333333333333,6.700746227100382,96.0,2.5298221281347026,0.363,0.1093988116937291,94.66666666666667,3.502380143083652,62.33333333333333,6.700746227100382,72.8051948051948,6.700746227100382,10,linear
